2024-12-02|02:05:33 AM|Electric Bill|Amazon|P|-931.23
2024-09-12|04:08:19 AM|Internet|Cinema|D|842.26
2024-11-11|12:36:52 AM|Movie Tickets|Restaurant|P|-1593.53
2025-03-10|05:15:40 AM|Car Repair|Restaurant|D|905.55
2024-11-18|09:24:33 AM|Internet|Fitness Club|P|-1835.21
2025-04-01|06:56:24 PM|Dining Out|Restaurant|D|1893.91
2024-12-18|09:11:00 PM|Electric Bill|Restaurant|D|797.52
2024-01-16|04:01:54 PM|Gym Membership|Safeway|D|853.95
2024-01-31|11:15:57 AM|Insurance|Xfinity|P|-886.02
2025-04-08|06:06:15 AM|Gym Membership|Amazon|D|251.99
2024-01-29|11:25:55 PM|Gift Purchase|State Farm|P|-1376.30
2024-01-07|11:07:31 PM|Dining Out|Xfinity|D|1413.36
2025-04-09|06:29:39 AM|Car Repair|Auto Shop|P|-11.48
2024-04-28|01:08:02 PM|Internet|PG&E|P|-875.08
2025-03-15|07:17:16 AM|Movie Tickets|PG&E|D|696.72
2024-04-14|06:05:03 AM|Groceries|Xfinity|P|-624.50
2024-04-25|01:29:20 PM|Movie Tickets|Xfinity|P|-1180.78
2024-10-11|06:19:43 AM|Insurance|Xfinity|D|147.12
2024-05-29|11:45:44 AM|Car Repair|Auto Shop|D|1332.85
2024-02-29|12:48:49 AM|Internet|Employer|D|590.57
2025-03-15|12:27:03 AM|Salary|Safeway|P|-906.51
2024-07-27|09:42:21 AM|Movie Tickets|Cinema|D|246.89
2024-10-02|06:00:24 PM|Dining Out|Cinema|D|1015.53
2024-02-04|06:59:47 PM|Electric Bill|Cinema|D|162.73
2024-06-11|08:22:31 AM|Car Repair|Employer|D|534.07
2025-02-22|03:06:49 AM|Gym Membership|Auto Shop|P|-1661.10
2024-05-27|03:49:27 PM|Internet|Fitness Club|D|1422.68
2024-09-14|04:51:37 PM|Gift Purchase|Employer|P|-1256.36
2025-02-19|07:10:22 PM|Gift Purchase|PG&E|P|-869.64
2024-08-15|11:38:42 AM|Salary|Employer|D|1537.73
2025-04-30|01:26:13 PM|Disney Magic Keypass Holder|P|Disney World|-900.0
2025-04-30|01:55:20 PM|eats|D|Lala land|800.0
2025-04-30|02:03:39 PM|Computer|D|Macbook World|700.0
2025-04-30|02:09:17 PM|eggs|P|Costco|-900.0
2025-04-30|07:41:38 PM|Supplies|D|Amazon|800.0
2025-04-30|07:42:02 PM|Iphone|P|Apple|-900.0
2025-05-01|12:32:19 PM|Gym price|D|Amazon|900.0
2025-05-01|12:34:49 PM|LALA|P|Disney|-900.0
2025-05-01|12:52:41 PM|Coffee|D|Amazon|7000.0
2025-05-01|12:52:54 PM|Ice cream|P|Baskin Robbins|-900.0
2025-05-01|10:57:50 PM|Ice cream|D|Basking Robbins|800.0
2025-05-01|10:58:14 PM|flight|P|Alaska Airlines|-1000.0
2025-05-01|11:05:34 PM|Light bulbs|D|Amazon|800.0
